,Model,Label,MAE,MAPE
1,Random_Forest-Basis,Weizenbrot,11.261958997722095,19.946601615214163
2,Random_Forest-Basis,Mischbrot,13.947608200455582,20.771600093615174
3,Random_Forest-Basis,Vollkornbrot,24.59908883826879,19.608865755704617
4,Random_Forest-Basis,Spezialbrot,22.838268792710707,36.39806982145019
5,Random_Forest-Basis,Stangenbrote,14.708428246013668,48.691470626038374
6,Random_Forest-Basis,Brötchen,59.52847380410023,14.329335816436556
7,Random_Forest-Basis,Süsse Brötchen,23.65375854214123,11.381310362963493
8,Random_Forest-Basis,Herzhafte_Brötchen,30.35763097949886,26.76335864165729
9,Random_Forest-Basis,KonditoreiBlech,42.82232346241458,67.05493343749555
10,Random_Forest-Basis,Stückgebäck,41.851936218678816,28.189263960455165
11,Random_Forest-Basis,Blechkuchen,26.85876993166287,31.20399341051015
12,Random_Forest-Basis,Weihnachtsartikel,5.316628701594533,28.300321949652275
